HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"44B Ly Thuong Kiet Street, Hanoi 001235 Vietnam",30,100,1164,"English, Vietnamese",Melia Hanoi,$170 ,,"$94, - ,$170","Which popular attractions are close to Melia Hanoi?, ,What are some of the property amenities at Melia Hanoi?, ,Which room amenities are available at Melia Hanoi?, ,What food & drink options are available at Melia Hanoi?, ,Is parking available at Melia Hanoi?, ,What are some restaurants close to Melia Hanoi?, ,Are there opportunities to exercise at Melia Hanoi?, ,Does Melia Hanoi have airport transportation?, ,Is Melia Hanoi located near the city center?, ,Are any cleaning services offered at Melia Hanoi?, ,Does Melia Hanoi offer any business services?, ",12,"2,719",#120 of 702 hotels in Hanoi,4.5,5.0 of 5 bubbles,144,Excellent,306,"Green,Business",1,https://www.tripadvisor.com/Hotel_Review-g293924-d302627-Reviews-Melia_Hanoi-Hanoi.html
"No 08 Do Duc Duc Road Me Tri Ward, South Tu Liem District, Hanoi 100000 Vietnam",6,52,2520,"English, Chinese, Japanese, Korean",JW Marriott Hotel Hanoi,$274 ,,"$149, - ,$274","Which popular attractions are close to JW Marriott Hotel Hanoi?, ,What are some of the property amenities at JW Marriott Hotel Hanoi?, ,Which room amenities are available at JW Marriott Hotel Hanoi?, ,What food & drink options are available at JW Marriott Hotel Hanoi?, ,Is parking available at JW Marriott Hotel Hanoi?, ,What are some restaurants close to JW Marriott Hotel Hanoi?, ,Are there opportunities to exercise at JW Marriott Hotel Hanoi?, ,Does JW Marriott Hotel Hanoi have an airport shuttle?, ,Does JW Marriott Hotel Hanoi have airport transportation?, ,Are any cleaning services offered at JW Marriott Hotel Hanoi?, ,Does JW Marriott Hotel Hanoi offer any business services?, ",630,"2,760",#87 of 702 hotels in Hanoi,5,5.0 of 5 bubbles,49,Excellent,450,"Modern,Luxury",338,https://www.tripadvisor.com/Hotel_Review-g293924-d4042083-Reviews-JW_Marriott_Hotel_Hanoi-Hanoi.html
"5 Tu Hoa street Tay Ho District, Hanoi 10000 Vietnam",12,86,3158,"English, French, Japanese, Korean",InterContinental Hanoi Westlake,$187 ,,"$121, - ,$187","Which popular attractions are close to InterContinental Hanoi Westlake?, ,What are some of the property amenities at InterContinental Hanoi Westlake?, ,Which room amenities are available at InterContinental Hanoi Westlake?, ,What food & drink options are available at InterContinental Hanoi Westlake?, ,Is parking available at InterContinental Hanoi Westlake?, ,What are some restaurants close to InterContinental Hanoi Westlake?, ,Are there opportunities to exercise at InterContinental Hanoi Westlake?, ,Does InterContinental Hanoi Westlake have airport transportation?, ,Are any cleaning services offered at InterContinental Hanoi Westlake?, ,Does InterContinental Hanoi Westlake offer any business services?, ,Which languages are spoken by the staff at InterContinental Hanoi Westlake?, ",12,"2,843",#152 of 702 hotels in Hanoi,4.5,5.0 of 5 bubbles,55,Excellent,318,"Lake View,Great View",515,https://www.tripadvisor.com/Hotel_Review-g293924-d815139-Reviews-InterContinental_Hanoi_Westlake-Hanoi.html
"1 Le Thanh Tong Hoan Kiem Dist., Hanoi 10000 Vietnam",37,96,1470,"English, Vietnamese",Hilton Hanoi Opera,$175 ,,"$77, - ,$175","Which popular attractions are close to Hilton Hanoi Opera?, ,What are some of the property amenities at Hilton Hanoi Opera?, ,Which room amenities are available at Hilton Hanoi Opera?, ,What food & drink options are available at Hilton Hanoi Opera?, ,Is parking available at Hilton Hanoi Opera?, ,What are some restaurants close to Hilton Hanoi Opera?, ,Are there opportunities to exercise at Hilton Hanoi Opera?, ,Does Hilton Hanoi Opera have airport transportation?, ,Is Hilton Hanoi Opera located near the city center?, ,Are any cleaning services offered at Hilton Hanoi Opera?, ,Does Hilton Hanoi Opera offer any business services?, ",358,"3,034",#185 of 702 hotels in Hanoi,4,4.5 of 5 bubbles,146,Very good,265,"Classic,City View",192,https://www.tripadvisor.com/Hotel_Review-g293924-d301984-Reviews-Hilton_Hanoi_Opera-Hanoi.html
"No 14 Tho Xuong lane, Au Trieu Str, Hoan Kiem dist, Hanoi 10000 Vietnam",148,100,960,"English, Vietnamese",Splendid Star Grand Hotel,$45 ,,"$20, - ,$45","Which popular attractions are close to Splendid Star Grand Hotel?, ,What are some of the property amenities at Splendid Star Grand Hotel?, ,Which room amenities are available at Splendid Star Grand Hotel?, ,What food & drink options are available at Splendid Star Grand Hotel?, ,Is parking available at Splendid Star Grand Hotel?, ,What are some restaurants close to Splendid Star Grand Hotel?, ,Does Splendid Star Grand Hotel have airport transportation?, ,Is Splendid Star Grand Hotel located near the city center?, ,Are any cleaning services offered at Splendid Star Grand Hotel?, ,Which languages are spoken by the staff at Splendid Star Grand Hotel?, ,Are there any historical sites close to Splendid Star Grand Hotel?, ",6,"3,136",#63 of 702 hotels in Hanoi,5,3.0 of 5 bubbles,414,Excellent,11,"Centrally Located,Charming",178,https://www.tripadvisor.com/Hotel_Review-g293924-d1546077-Reviews-Splendid_Star_Grand_Hotel-Hanoi.html
"37-39 Hang Bac Street, Hanoi 10000 Vietnam",170,100,1036,"English, Vietnamese",Lavender Central Hotel,$91 ,,"$33, - ,$91","Which popular attractions are close to Lavender Central Hotel?, ,What are some of the property amenities at Lavender Central Hotel?, ,Which room amenities are available at Lavender Central Hotel?, ,What food & drink options are available at Lavender Central Hotel?, ,What are some restaurants close to Lavender Central Hotel?, ,Does Lavender Central Hotel have airport transportation?, ,Is Lavender Central Hotel located near the city center?, ,Are any cleaning services offered at Lavender Central Hotel?, ,Which languages are spoken by the staff at Lavender Central Hotel?, ,Are there any historical sites close to Lavender Central Hotel?, ,Is Lavender Central Hotel accessible?, ",6,"3,660",#56 of 702 hotels in Hanoi,5,,617,Excellent,25,"Centrally Located,Green",474,https://www.tripadvisor.com/Hotel_Review-g293924-d5955080-Reviews-Lavender_Central_Hotel-Hanoi.html
"195-199 Hang Bong Street Hoan Kiem District, Hanoi Vietnam",70,100,706,"English, Vietnamese",Silk Path Hotel Hanoi,$92 ,,"$52, - ,$92","Which popular attractions are close to Silk Path Hotel Hanoi?, ,What are some of the property amenities at Silk Path Hotel Hanoi?, ,Which room amenities are available at Silk Path Hotel Hanoi?, ,What food & drink options are available at Silk Path Hotel Hanoi?, ,Is parking available at Silk Path Hotel Hanoi?, ,What are some restaurants close to Silk Path Hotel Hanoi?, ,Are there opportunities to exercise at Silk Path Hotel Hanoi?, ,Does Silk Path Hotel Hanoi have airport transportation?, ,Is Silk Path Hotel Hanoi located near the city center?, ,Are any cleaning services offered at Silk Path Hotel Hanoi?, ,Does Silk Path Hotel Hanoi offer any business services?, ",140,"3,992",#47 of 702 hotels in Hanoi,4.5,4.0 of 5 bubbles,306,Excellent,106,"Modern,Family",94,https://www.tripadvisor.com/Hotel_Review-g293924-d1592633-Reviews-Silk_Path_Hotel_Hanoi-Hanoi.html
"B7 Giang Vo, Ba Dinh Ba Dinh, Hanoi 100000 Vietnam",1,79,156,"English, Chinese, Korean, Vietnamese",Dolce by Wyndham Hanoi Golden Lake,342,,"Vietnam,Hanoi,342","Which popular attractions are close to Dolce by Wyndham Hanoi Golden Lake?, ,What are some of the property amenities at Dolce by Wyndham Hanoi Golden Lake?, ,Which room amenities are available at Dolce by Wyndham Hanoi Golden Lake?, ,What food & drink options are available at Dolce by Wyndham Hanoi Golden Lake?, ,Is parking available at Dolce by Wyndham Hanoi Golden Lake?, ,What are some restaurants close to Dolce by Wyndham Hanoi Golden Lake?, ,Are there opportunities to exercise at Dolce by Wyndham Hanoi Golden Lake?, ,Does Dolce by Wyndham Hanoi Golden Lake have an airport shuttle?, ,Does Dolce by Wyndham Hanoi Golden Lake have airport transportation?, ,Are any cleaning services offered at Dolce by Wyndham Hanoi Golden Lake?, ,Does Dolce by Wyndham Hanoi Golden Lake offer any business services?, ",14,63,#70 of 702 hotels in Hanoi,5,5.0 of 5 bubbles,63,Excellent,342,"City View,Business",11,https://www.tripadvisor.com/Hotel_Review-g293924-d21080403-Reviews-Dolce_by_Wyndham_Hanoi_Golden_Lake-Hanoi.html
,0,0,,,Dinos Homes - Ocean Park,,Vietnam,"Vietnam,Hanoi",,,0,,0,,0,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23366765-Reviews-Dinos_Homes_Ocean_Park-Hanoi.html
"No. 2, 282 Thuy Khue Tay ho, Hanoi 10000 Vietnam",1,56,,,Vinh's Home,,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Vinh's Home?, ,What are some restaurants close to Vinh's Home?, ",,0,,0,,11,,Hanoi,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15208618-Reviews-Vinh_s_Home-Hanoi.html
