HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
,0,0,,,,Dinos Homes - Ocean Park,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23366765-Reviews-Dinos_Homes_Ocean_Park-Hanoi.html
"No. 2, 282 Thuy Khue Tay ho, Hanoi 10000 Vietnam",1,56,,,,Vinh's Home,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Vinh's Home?, ,What are some restaurants close to Vinh's Home?, ",,0,,0,NA,11,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15208618-Reviews-Vinh_s_Home-Hanoi.html
"65 Cua Bac Str Ba Dinh Dist, Hanoi 10000 Vietnam",20,88,,,,Hang Nga Hotel Hanoi,40,Vietnam,"Vietnam,Hanoi,40","Which popular attractions are close to Hang Nga Hotel Hanoi?, ,What are some of the property amenities at Hang Nga Hotel Hanoi?, ,What food & drink options are available at Hang Nga Hotel Hanoi?, ,What are some restaurants close to Hang Nga Hotel Hanoi?, ,Are there opportunities to exercise at Hang Nga Hotel Hanoi?, ,Is Hang Nga Hotel Hanoi located near the city center?, ,Are there any historical sites close to Hang Nga Hotel Hanoi?, ",,0,,0,NA,120,,40,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d633657-Reviews-Hang_Nga_Hotel_Hanoi-Hanoi.html
,0,0,,,,West Lake Peach Garden Hotel Hanoi,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d22821398-Reviews-West_Lake_Peach_Garden_Hotel_Hanoi-Hanoi.html
"Unit 307, Level 3, Block 1A, 1 Le Phung Hieu Street Hoan Kiem District, Hanoi Vietnam",32,99,,,,Cloudy House,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Cloudy House?, ,Which room amenities are available at Cloudy House?, ,What are some restaurants close to Cloudy House?, ,Is Cloudy House located near the city center?, ",,0,,0,NA,116,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d12815407-Reviews-Cloudy_House-Hanoi.html
,0,0,,,,Lexington Apartments,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23593408-Reviews-Lexington_Apartments-Hanoi.html
,0,0,,,,OYO 771 Hanoi Antique Hotel,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d22821324-Reviews-OYO_771_Hanoi_Antique_Hotel-Hanoi.html
"ngo 35 pho Cat Linh, phuong Cat Linh, quan Dong Da, Ha Noi So 63, Hanoi Vietnam",5,81,,,,Can ho dich vu cao cap,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Can ho dich vu cao cap?, ,What are some restaurants close to Can ho dich vu cao cap?, ",,0,,0,NA,34,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23335800-Reviews-Can_ho_dich_vu_cao_cap-Hanoi.html
"Ph_ Van H_ 3, Hanoi Vietnam",8,78,,,,MayHouse - May Sky View 72,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to MayHouse - May Sky View 72?, ,What are some restaurants close to MayHouse - May Sky View 72?, ",,0,,0,NA,75,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23438455-Reviews-MayHouse_May_Sky_View_72-Hanoi.html
,0,0,,,,Nha Nghi Duc Thang,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d19578939-Reviews-Nha_Nghi_Duc_Thang-Hanoi.html
"1A Trang Tien Hoan Kiem, Hanoi 10000 Vietnam",32,97,,,,8692 Homestay,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to 8692 Homestay?, ,What are some restaurants close to 8692 Homestay?, ,Is 8692 Homestay located near the city center?, ",,0,,0,2.0 of 5 bubbles,120,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d15208536-Reviews-8692_Homestay-Hanoi.html
,0,0,,,,Nhan 1946 House,NA,Vietnam,"Vietnam,Hanoi",,,0,,0,NA,0,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d23523524-Reviews-Nhan_1946_House-Hanoi.html
"13 Hang Can street Hoankiem Dist, Hanoi Vietnam",194,100,,,,Anh Toan Plaza Hotel,32,Vietnam,"Vietnam,Hanoi,32","Which popular attractions are close to Anh Toan Plaza Hotel?, ,What are some restaurants close to Anh Toan Plaza Hotel?, ,Does Anh Toan Plaza Hotel have airport transportation?, ,Is Anh Toan Plaza Hotel located near the city center?, ",,0,,0,NA,652,,32,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d1473016-Reviews-Anh_Toan_Plaza_Hotel-Hanoi.html
"17 Ngo 45 Tr_n Thai Tong, Cau Giay, Hanoi Vietnam",1,82,,,,OYO 1143 Thu Giang Hotel,Cau Giay,Vietnam,"Vietnam,Hanoi,Cau Giay","Which popular attractions are close to OYO 1143 Thu Giang Hotel?, ,What are some restaurants close to OYO 1143 Thu Giang Hotel?, ",,0,,0,NA,21,,18,,,0,https://www.tripadvisor.com/Hotel_Review-g21375824-d21503984-Reviews-OYO_1143_Thu_Giang_Hotel-Cau_Giay_Hanoi.html
"124 27, Ho Tung Mau Street, Cau Giay District, Hanoi 10000 Vietnam",7,49,,,,Thien Anh Hotel - Ho Tung Mau,20,Vietnam,"Vietnam,Hanoi,20","Which popular attractions are close to Thien Anh Hotel - Ho Tung Mau?, ,What are some of the property amenities at Thien Anh Hotel - Ho Tung Mau?, ,What are some restaurants close to Thien Anh Hotel - Ho Tung Mau?, ,Are any cleaning services offered at Thien Anh Hotel - Ho Tung Mau?, ",,0,,0,NA,55,,20,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3221844-Reviews-Thien_Anh_Hotel_Ho_Tung_Mau-Hanoi.html
"25 Trung Yen Lane, Hanoi 100000 Vietnam",3,64,,,,Backpacker Hanoi Hostel,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Backpacker Hanoi Hostel?, ,What are some restaurants close to Backpacker Hanoi Hostel?, ",,0,,0,1.0 of 5 bubbles,22,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d21003435-Reviews-Backpacker_Hanoi_Hostel-Hanoi.html
"14 Ong Ich Khiem Street, Ba Dinh District, Hanoi 10000 Vietnam",11,83,,,,Van Hoa Hotel,13,Vietnam,"Vietnam,Hanoi,13","Which popular attractions are close to Van Hoa Hotel?, ,What are some of the property amenities at Van Hoa Hotel?, ,What are some restaurants close to Van Hoa Hotel?, ,Are any cleaning services offered at Van Hoa Hotel?, ",,0,,0,NA,33,,13,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d3221671-Reviews-Van_Hoa_Hotel-Hanoi.html
"P17 - 20D Tran Quy Cap Van Mieu, Hanoi Vietnam",14,95,,,,Ga Home,NA,Vietnam,"Vietnam,Hanoi","Which popular attractions are close to Ga Home?, ,What are some restaurants close to Ga Home?, ,Is Ga Home located near the city center?, ",,0,,0,NA,124,,Hanoi,,,0,https://www.tripadvisor.com/Hotel_Review-g293924-d13971912-Reviews-Ga_Home-Hanoi.html
